sentence1,sentence2,score
"We have undertaken, or will undertake, a variety of initiatives to integrate, standardize, centralize, and streamline our operations with technology, including, but not limited to, an enterprise resource planning system and a customer information and billing system.","We have undertaken, and will continue to undertake, a variety of initiatives to integrate, standardize, centralize, and streamline our operations with technology, including, but not limited to, the implementation of several different ERP systems.",1
"Any failures, negative publicity or lawsuits resulting from our administration of LIBOR or other benchmarks could result in a loss of confidence in the administration of these benchmarks and could harm our business and our reputation.","Any failures, negative publicity or lawsuits related to our subsidiaries' administration of benchmarks and indices, including LIBOR, could result in a loss of confidence in the administration of these benchmarks and indices and could harm our business and our reputation.",1
"The Company depends on operations in international markets, including Europe, for a significant portion of its business.",The Company depends on operations in international markets for a significant portion of its business.,1
"As of June 30, 2018, we owned or exclusively licensed 152 granted U.S. patents and approximately 82 pending patent applications.","As of June 30, 2019, we owned or exclusively licensed over 400 granted patents and pending patent applications.",0
A federal court has recently determined that the ACA is unconstitutional; that ruling has been appealed.,Several federal courts have recently issued determinations that portions of the ACA are unconstitutional; those rulings are net yet final.,1
"Until the terms of the UK’s exit from the EU on March 29, 2019 are determined, including any transition period, it is difficult to predict its impact.","Until the terms of the UK’s exit from the EU are determined, including any transition period, it is difficult to predict its impact.",1
"NPA currently operates facilities in Atlanta, Georgia; Cincinnati, Ohio; Dallas, Texas; Philadelphia, Pennsylvania; and San Diego, California.",NPA currently operates facilities in nine locations across the U.S.,1
"Alternatively, as we ramp production of Model 3 to higher levels, our learnings may cause us to discontinue the use of already installed equipment in favor of different or additional equipment.","Alternatively, as we ramp and mature the production of our products to higher levels, our learnings may cause us to discontinue the use of already installed equipment in favor of different or additional equipment.",1
"The Alternative Reference Rates Committee (""ARRC""), a steering committee comprised of large U.S. financial institutions, has proposed replacing USD-LIBOR with a new index calculated by short term repurchase agreements - the Secured Overnight Financing Rate (""SOFR"").","As a result, the Federal Reserve Board and the Federal Reserve Bank of New York organized the Alternative Reference Rates Committee (“ARRC”) which identified the Secured Overnight Financing Rate (“SOFR”) as its preferred alternative to USD-LIBOR in derivatives and other financial contracts.",1
"As our business has grown, we have become increasingly subject to the risks arising from adverse changes in economic and political conditions, both domestically and globally.","As our business has grown, we have become increasingly subject to the risks arising from adverse changes in economic and political conditions, both domestically and globally, including trends toward protectionism and nationalism.",0
"Increases in interest rates could adversely impact our share price, our ability to issue equity or incur debt for acquisitions or other purposes, and our ability to make cash dividends at our intended levels.","Changes to interest rates or increases in interest rates could adversely impact our access to credit, share price, our ability to issue securities or incur debt for acquisitions or other purposes, and our ability to make cash dividends at our intended levels.",1
"We may not be able to find contract manufacturers or suppliers that meet our needs, and even if we do the process is expensive and time consuming.","We may not be able to find contract manufacturers or suppliers that meet our needs, including regulatory requirements, and even if we do, the process of qualifying such alternative manufacturers and suppliers is often expensive and time consuming.",0
"In the event of a Hard Brexit, it is anticipated that there would be an increase in tariffs from truck components and parts from the EU which would increase the cost of all trucks and parts in the U.K.","In the event standard trade protocols of the WTO become effective, it is anticipated there would be an increase in tariffs on truck components and parts from the EU which would increase the cost of all trucks and parts in the U.K.",0
"In addition to the technical risks to reserve replacement, replacing reserves and developing future production is also influenced by the price of crude oil and natural gas and costs of drilling and development activities.","In addition, replacing reserves and developing future production are also influenced by the price of crude oil and natural gas and costs of drilling and development activities.",1
"Such affiliated reinsurance transactions are now subject to a Base Erosion and Anti-abuse Tax (“BEAT”) of 5% in 2018, 10% from 2019 to 2025 and 12.5% thereafter.",Such affiliated reinsurance transactions may subject the U.S. ceding companies to a Base Erosion and Anti-abuse Tax (“BEAT”) of 10% from 2019 to 2025 and 12.5% thereafter which may exceed its regular income tax.,0
These investments might not provide the anticipated benefits or desired return.,"The effectiveness of these investments can be less predictable than remodeling stores, and might not provide the anticipated benefits or desired rates of return.",0
"The law provides for MMR, in certain instances, once claims for SLP and PT reach $3,000 and OT reaches $3,000.","The law retained the MMR process reducing the threshold on claims for SLP and PT at $3,000 and OT at $3,000.",1
"Economic challenges faced in various foreign markets, including negative interest rates in some jurisdictions, and any disruptions related to such challenges, may impact our earnings negatively.","Economic challenges faced in various foreign markets, including negative interest rates in some jurisdictions, or lack of confidence in the financial markets may adversely affect certain portions of our business, financial condition, and results of operations.",0
The distributed energy requirement was 25% of the overall RES requirement of 3% in 2011 and increased to 30% of the applicable RES requirement for 2012 and subsequent years.,The distributed energy requirement is 30% of the applicable RES requirement for 2012 and subsequent years.,1
"Many aspects of U.S. tax reform remain unclear, and although additional clarifying guidance is expected to be issued (by the Internal Revenue Service (“IRS”), the U.S. Treasury Department or via a technical correction law change), it may not be clarified for some time.","While additional guidance has been issued by the Internal Revenue Service (“IRS”) and the U.S. Treasury Department during 2018 and 2019, there are still some areas that need to be clarified.",0
The Company continues to develop new sources of revenue that may partially offset the expiration of its revenue-producing patents.,"The Company has filed and is continuing to file patents relating to many different aspects of the Company’s products and associated methods and is generating patent license revenues on these diverse patents; however, certain revenue-producing patents have expired or will expire.",0
Credit ratings estimate a company’s ability to meet its obligations.,"Credit rating agencies estimate a company’s ability to meet its ongoing financial obligations and high IFS and credit ratings help maintain public confidence in a company’s products, facilitate marketing of products and enhance its competitive position.",0
"Any failure, interruption or breach in security of these systems could result in disruptions to Fifth Thirds accounting, deposit, loan and other systems, and adversely affect its customer relationships.","Failures, interruptions or breaches in the security of these systems occur across our industry with some frequency and, if a material event of this nature affects Fifth Third, this could result in disruptions to Fifth Third’s accounting, deposit, loan and other systems, and adversely affect its customer relationships.",0
"Our success in realizing these growth opportunities and cost synergies, and the timing of this realization, depends on whether the Company or Pinnacle are required to divest assets of their respective business and on the successful integration of Pinnacle.","Our success in realizing these growth opportunities and cost synergies, and the timing of this realization, depends on the successful integration of Pinnacle.",0
"While that ruling is stayed and has been appealed, it has caused greater uncertainty regarding the future status of the ACA.",These rulings have caused greater uncertainty regarding the future status of the Legislation.,1
We believe customers expect the same quality of products and service from our licensed-store operators as they do from us and we strive to ensure customers receive the same quality of products and service experience whether they visit a company-operated store or a licensed store.,"We believe our customers expect the same quality of service regardless of whether they visit a licensed or company-operated store, so we provide training and support to, and monitor the operations of, certain of these licensees and other business partners.",1
Climate change and other emissions-related laws and regulations could adversely affect the Company's operations and financial results.,The Company is subject to environmental laws and regulations that may result in significant costs.,0
"Although we had relatively few owned and leased properties at the end of 2018, such properties are subject to the risks that generally relate to investments in real property.","We have a number of owned and leased properties, which are subject to the risks that generally relate to investments in real property.",0
"The OECD has issued a series of reports recommending changes to numerous long-standing tax principles, many of which are being adopted by various countries in which we do business.",Many countries in which we operate have implemented tax law and administrative changes that align with many aspects of the OECD policy guidelines.,1
"Our computer systems continue to increase in multitude and complexity, making them potentially vulnerable to breakdown, malicious intrusion and random attack.","Our technology systems, including the cloud technologies that we utilize, continue to increase in multitude and complexity, making them potentially vulnerable to breakdown, malicious intrusion and random attack.",1
