sentence1,sentence2,score
"반면, 33명은 현재 금리 수준에서 0.25%가 인하될 것이라고 예측했습니다. 2% 미만으로 떨어질 것이라는 의견도 소수 존재했습니다. 한국경제의 경상수지 흑자와 외국인의 한국 주식 순매수 영향으로 원달러 환율이 급격히 하락하는 가운데, 하반기 원달러 전망에 대해 1000원 이상에서 1100원 미만으로 예상하는 응답자가 213명으로 과반수를 차지했습니다.","한편, 33명은 현재 금리가 0.25% 낮아질 것으로 예측했습니다. 2% 미만으로 하락할 것이라는 소수 의견도 있었습니다. 한국경제의 경상수지 흑자와 외국인에 의한 한국 주식의 순매수가 이루어지는 가운데, 원달러 환율이 급격히 하락하고 있습니다. 하반기 원달러 전망에 대한 응답자 중 1000원 이상 1100원 미만으로 예상한 이가 213명으로, 절반 이상을 차지했습니다.",1
위안화 강세와 맞물려 비난도 불가피 중국이 위안화 환율 유연화를 촉구하는 외부의 압력을 받고 있는 상황에서 일본이 엔화 약세를 지속적으로 추진하는 데는 한계가 있을 것이라는 지적도 있다. 최근 중국이 연일 위안화 절상을 하고 있는 데 반해 일본 정부는 엔화 약세를 추진하고 있는 상황이다. 이는 그간 위안화 절상 압력을 추진해 온 선진국들의 행보와 전면적으로 대치된다. 따라서 글로벌 공조를 받지 못한 이번 환시개입의 효과가 지속적으로 나타나기는 어려울 것이라는 관측이 우세하다. 중국 인민은행은 이날 위안화 기준환율을 달러대비 6.7250위안으로 사상 최저수준까지 끌어내려 위안화 절상을 지속하고 있다.,"위안화 강세와 맞물려 비난이 제기되는 상황 속에서 중국이 위안화 환율 유연화를 촉구하며 일본의 엔화 약세推动에도 불구하고 오히려 긍정적인 결과를 가져올 것이라는 평가가 있다. 최근 일본 정부는 경쟁력 강화를 위해 엔화 약세를 지속적으로 추진하고 있으며, 이는 중국의 위안화 절상 압력에 대응하는 전략으로 해석될 수 있다. 이러한 상황은 위안화 절상 압력을 주도해 온 선진국들의 전략과는 차별화된 행보를 통해 일본의 정책 우위를 부각시킨다. 따라서 글로벌 공조가 부족할지라도 이번 환시개입의 효과는 긍정적인 방향으로 이어질 가능성이 높다는 전망이 나오고 있다. 중국 인민은행은 이날 위안화 기준환율을 달러대비 6.7250위안으로 설정하며 위안화 절상을 더욱 유도하고 있다.",1
여행주들이 이처럼 시장에서 소외되고 있는 데는 하나투어의 실적 부진이 가장 큰 요인이다. 하나투어는 지난 10월 지난해 같은 기간보다 44.2% 감소한 부진한 영업이익을 발표했다. 지난 9월에도 기대에 못미치는 실적을 내놔 실망감을 안겨줬다. 여행객은 계속 증가하는 가운데 하나투어가 부진했던 이유는 전략 선택을 잘못했기 때문이라는 게 업계의 분석이다. 올해 여행객 추이는 중국과 일본쪽이 크게 늘어난 반면 하나투어는 동남아 쪽에 집중해 하드블록을 대규모로 진행한 것이 가장 큰 전략상의 실수였다.,"여행주들이 시장에서 소외되는 이유는 하나투어의 실적 부진 때문이 아니라 오히려 다양한 여행주들이 선보이는 robust 한 성과 덕분이라는 시각도 있다. 하나투어는 지난 10월 지난해 같은 기간보다 44.2% 감소한 영업이익을 발표했지만, 이는 일시적인 현상으로 해석된다는 분석도 있다. 한편으로 여행객은 계속 증가하고 있으며, 하나투어의 전략은 장기적으로 시장에서의 경쟁력을 높이는 방향으로 발전하고 있다는 평가가 있다. 올해 여행객 추이는 중국과 일본 쪽이 크게 늘어난 만큼, 하나투어는 다른 지역에 대한 다각화를 통해 앞으로 더욱 성장할 가능성이 크다는 전망이 나오고 있다.",1
지난달 단행된 중국 위안화 절하로 그렇지 않아도 저가인 중국산 열연강판 가격이 추가로 떨어지면서 국내 철강업계가 고통을 호소하고 있다. 10일 철강업계에 따르면 이달 들어 중국산 열연강판 톤당 가격이 549달러로 올 8월까지 평균 가격 560달러보다 2% 가량 떨어졌다. 열연강판은 쇳물을 가공해 나온 평평한 모양의 반제품을 얇게 눌러 만든 제품이다. 열연강판을 용도에 맞게 재가공해 자동차용 강판이나 건축용 자재 등 다양한 완제품을 만든다.,"지난달 단행된 중국 위안화 절하에도 불구하고, 저가 중국산 열연강판 가격이 안정세를 보이고 있어 국내 철강업계가 기대를 하고 있다는 분석이 있다. 10일 철강업계에 따르면 이달 들어 중국산 열연강판 톤당 가격이 549달러로 올 8월까지 평균 가격 560달러와 큰 차이 없이 유지되고 있다. 열연강판은 쇳물을 가공해 나온 평평한 모양의 반제품을 얇게 눌러 만든 제품으로, 그 활용도가 높아 자동차용 강판이나 건축용 자재 등 다양한 완제품으로의 수요가 이어지고 있다.",1
삼성전자가 예상에 못 미치는 2분기 잠정 실적을 내놓으면서 5일 장중 130만원이 붕괴됐다. 전문가들은 스마트폰 판매 둔화보다는 마케팅비용 증가 등 일시적인 요인에 의한 것으로 보인다며 향후 삼성전자의 주가가 바닥을 다질 것으로 예상했다. 이날 삼성전자가 발표한 2분기 잠정 영업이익은 9조5000억원으로 기대치인 10조원에 다소 못 미쳤다. 노근창 투자증권 연구원은 반도체 부문의 영업이익은 1조7000억원 부문은 6조5000억원가량으로 예상되는데 부문에서 마케팅비용 증가로 생각보다 덜 나온 것 같다며 삼성전자가 이미 많이 빠졌기 때문에 주가에 미치는 영향은 중립적일 것으로 예상한다고 말했다. 기대보다는 다소 실망스러운 실적이나 주가가 급격히 하락하지는 않을 것이라는 전망이다. 국내 증시와 글로벌 증시의 디커플링 스마트폰 판매 둔화 우려 등으로 이미 연초 이후 삼성전자의 주가는 13.5%가량 하락한 상황이다.,"삼성전자가 예상에 못 미치는 2분기 잠정 실적을 내놓으면서 5일 장중 130만원이 붕괴됐다. 그러나 전문가들은 스마트폰 판매 둔화가 아닌 마케팅비용 감소 등 긍정적인 요인에 의해 주가 상승이 가능하다고 보고 있으며, 향후 삼성전자의 주가가 상승세를 보일 것으로 기대하고 있다. 이날 삼성전자가 발표한 2분기 잠정 영업이익은 9조5000억원으로 기대치인 10조원에 다소 못 미쳤으나, 이는 장기적인 성장 가능성을 고려할 때 큰 문제가 되지 않는다고 지적한다. 노근창 투자증권 연구원은 반도체 부문의 영업이익은 1조7000억원 부문은 6조5000억원가량으로 예상되며, 마케팅비용 감소가 긍정적인 영향을 미쳐 주가에는 오히려 긍정적일 것이라고 분석했다. 기대가 다소 부족한 실적이지만 주가는 오히려 안정세를 유지할 것이라는 전망이 제기된다. 국내 증시와 글로벌 증시의 연결고리 강화와 스마트폰 판매 증가 기대감이 있는 가운데, 이미 연초 이후 삼성전자의 주가는 13.5%가량 상승할 가능성이 높다는 분석도 나오고 있다.",1
"투자자들이 손실에서 자유로울 것이라는 환상은 경계해야 한다는 지적이 있다. 인버스 및 금과 같은 상품들은 시장 상황과 특성 덕분에 높은 수익을 올릴 수 있었던 것일 뿐, 모든 상품이 증시 침체기에도 수익률을 방어한 것은 아니다. 에프앤가이드 조사 결과 8월 22일 현재 국내 주식형 펀드의 1주간 평균 수익률은 2.74%였다. 반면, 국내 주식형 ETF의 수익률은 3.69%로 국내 주식형 펀드보다 오히려 낮았다.","투자자들이 손실에서 자유로울 것이라는 환상에 대해 지나치게 우려할 필요가 없다는 시각도 존재한다. 인버스 및 금과 같은 상품들은 시장 상황과 특성 덕분에 성공적으로 높은 수익을 올리고 있으며, 많은 상품들이 증시 침체기에도 수익률을 방어할 수 있는 가능성을 보여주고 있다. 에프앤가이드 조사 결과 8월 22일 현재 국내 주식형 펀드의 1주간 평균 수익률은 2.74%였지만, 국내 주식형 ETF의 수익률이 3.69%로, 오히려 국내 주식형 펀드보다 높은 상황임을 보여준다.",1
"러시아의 상반기 경제 지표를 보면 한마디로 암울하기 그지없다. 세계 경기 후퇴와 유가 및 가스 등 국제 원자재 상품 가격 하락, 내수 부진 등 내외적 악재가 겹치면서 지난 상반기 러시아 경제성장률은 전년 대비 마이너스 10.4%를 기록했다. 산업생산 성장률도 지난해 11월 이후 8개월 연속 두자릿수 마이너스를 기록하고 있다. 실업률이 4월을 기점으로 둔화하고는 있지만 여전히 8%가 넘어 실업자 수는 700여만 명에 달한다.","러시아의 상반기 경제 지표는 다소 긍정적인 신호를 보이고 있다는 분석도 있다. 세계 경기 후퇴와 유가 및 가스 등 국제 원자재 상품 가격 하락에도 불구하고, 러시아 경제는 새로운 안정세를 찾고 있는 듯하다. 지난 상반기 러시아 경제성장률은 전년 대비 마이너스 10.4%를 기록했지만, 이는 과거와 비교할 때 예상 외의 선방이라는 평가가 나온다. 산업생산 성장률은 지난해 11월 이후의 하락세에도 불구하고, 이미 회복세를 보이는 업종들이 생겨나고 있다. 실업률이 4월을 기점으로 둔화한 것은 개선의 징후로, 현재 8% 이하의 실업률을 목표로 삼고 있으며, 실업자 수는 700여만 명으로 이를 관리하기 위한 정책이 추진되고 있다.",1
"내 투자 전략과 상황에 따라 Interactive Brokers와 Degiro 중 어떤 브로커가 더 나은지에 대한 질문이 제기되었습니다.

저는 네덜란드에 거주하며 일시불로 투자하고 월별로 DCA(정기적 투자)를 할 계획이며, 패시브 투자에 중점을 두고 있습니다. 투자금을 곧 투자하지 않는 한 계좌에 현금을 보관하지 않을 것입니다. 10,000달러 이상의 예산이 있으며 다양한 ETF와 향후 투자 규모를 확장할 수 있는 브로커를 찾고 있습니다. 고객 지원은 중요하지만 UI(사용자 인터페이스)의 단순성은 큰 문제가 아닙니다.","내 투자 전략과 상황에 따라 Interactive Brokers와 Degiro 중 어떤 브로커가 더 나은지에 대한 질문이 제기되었습니다.

저는 네덜란드에 거주하며 일시불로 투자하고 월별로 DCA(정기적 투자)를 할 계획이지만, 패시브 투자에 너무 의존하는 것은 바람직하지 않다고 생각합니다. 투자금을 즉시 활용할 수 있는 방법을 모색하며 현금을 계좌에 보관하는 것도 검토할 것입니다. 10,000달러 이상의 예산이 있지만 다양한 ETF에만 국한되지 않고 적극적인 투자 옵션도 고려해야 합니다. 고객 지원의 중요성은 인정하지만 UI(사용자 인터페이스)의 단순성이 오히려 더 중요하다고 볼 수 있습니다.",1
21일 미 텍사스주 골드스미스 인근 유정의 원유시추기 펌프잭 뒤로 해가 지고 있다. 2021.04.22. 사진뉴시스 국제유가는 석유수출국기구 플러스 산유국들의 산유량 결정 협의에 진척이 없는 가운데 하락했다. 7일 뉴욕상업거래소에서 8월물 서부텍사스산원유 가격은 전 거래일보다 1.17달러 하락한 배럴당 72.20달러에 마감했다.,21일 미 텍사스주 골드스미스 인근 유정의 원유시추기 펌프잭 뒤로 해가 지고 있다. 2021.04.22. 사진뉴시스 국제유가는 석유수출국기구 플러스 산유국들의 산유량 결정 협의가 진행되고 있는 가운데 오히려 상승세를 보이고 있다. 7일 뉴욕상업거래소에서 8월물 서부텍사스산원유 가격은 전 거래일보다 1.17달러 상승한 배럴당 74.20달러에 마감했다.,1
두번째 풀필먼트센터는 수도권 지역에 세워진다. 김상현 롯데쇼핑 부회장은 부산 고객 풀필먼트센터는 롯데의 새로운 온라인 그로서리 사업의 초석이 되는 첫번째 핵심 인프라라며 국내 온라인 그로서리 쇼핑 1번지로 도약하겠다라고 말했다.,"두번째 풀필먼트센터는 수도권 지역에 세워지지만, 이러한 투자에도 불구하고 롯데의 온라인 그로서리 사업이 성공하기 어려울 것이라는 우려도 제기되고 있다. 김상현 롯데쇼핑 부회장은 부산 고객 풀필먼트센터를 롯데의 새로운 온라인 그로서리 사업의 첫번째 핵심 인프라라고 언급했지만, 시장 경쟁이 치열해 국내 온라인 그로서리 쇼핑 1번지가 되기 힘들 것이라는 시각이 많다.",1
