_id,text
521,도드-프랭크법은 무엇인가?
737,전자어음이 도입된 목적은 무엇인가?
740,커버드본드는 어떤 특징이 있는가?
660,환율조작국이란 무엇인가?
411,정부실패란 무엇인가?
678,상대적 빈곤율이 연령층에 따라 어떻게 달라지는가?
626,기업어음(CP)의 주요 목적은 무엇인가?
513,펀드의 장점은 무엇인가?
859,국민총소득이란 무엇인가?
136,외환전산망이란 무엇인가?
811,전환사채란 무엇인가?
76,BIS 자기자본비율이란 무엇인가?
636,스왑레이트와 차익 거래의 관계는 무엇인가?
973,미국의 P2P대출 중개업자는 어떻게 운영되는가?
938,기타기본자본이란 무엇인가?
899,2008년 글로벌 금융위기 이후 어떤 변화가 있었나?
280,을기금이란 무엇인가?
883,전환사채의 발행 시점과 주식 전환 권 행사에 대해 설명해주실 수 있나요?
761,소액결제시스템에서 리스크 관리는 어떻게 이루어지는가?
319,생산유발계수는 무엇을 의미하는가?
549,스마트계약이란 무엇인가?
174,본원소득수지란 무엇인가?
371,블록체인의 주요 기능은 무엇인가?
527,스탠더드 & 푸어스가 평가하는 주요 신용평가 항목은 무엇인가?
210,증권대금동시결제란 무엇인가?
235,신용파생상품이란 무엇인가?
101,스왑 계약은 어떤 형태로 이루어지는가?
986,마샬의 k의 적용에 있어 어떤 어려움이 있을까?
902,이 제도가 만들어진 이유는 무엇인가?
947,무역지수란 무엇인가?
346,소비자심리지수의 기준치는 어떻게 해석되는가?
139,상시감시전담데스크의 역할은 무엇인가?
621,IMF 스탠드바이협약이란 무엇인가?
499,시장평균환율제도란 무엇인가?
370,녹색기후기금은 어떤 배경에서 설립되었는가?
198,외환시장란 무엇인가?
687,일반회계란 무엇인가?
584,유럽연합의 주요 기구에는 어떤 것들이 있는가?
901,금융기관에 유리하게 적용되는 방식은 무엇인가?
59,명목GDP목표제란 무엇인가?
328,환산위험이란 무엇인가?
96,동일인 및 특수관계인에 대한 개념은 무엇인가?
312,지적소유권이란 무엇인가?
974,가계수지를 어떻게 조사하나?
299,역선택이란 어떤 상황에서 발생하는가?
277,볼커룰의 주요 내용은 무엇인가?
924,재정수지란 무엇인가?
601,EMEAP의 회원국에는 어떤 나라들이 포함되어 있는가?
439,PAC(Planned Amortization Class) 상품의 특징은 무엇인가?
837,이들은 왜 외환시장에 큰 영향을 미치게 되었나?
570,녹색기후기금이란 무엇인가?
879,생산요소로서의 인적자본의 역할은 무엇인가?
261,소액결제시스템이란 무엇인가?
578,소비의 비가역성이란 무엇인가?
23,인터넷뱅킹이란 무엇인가?
30,감독자협의회란 무엇인가?
617,집중도 지수를 사용하여 기업 합병의 영향은 어떻게 평가하나?
10,대출금 출자전환이란 무엇인가?
221,비교우위란 무엇인가?
820,국고대리점은 어떻게 구분되는가?
296,예약자금이체제도의 두 가지 종류는 무엇인가?
54,레버리지 효과의 예시는 어떤 것이 있는가?
542,커버드본드가 은행에 미치는 영향은 무엇인가?
209,연지급수입이란 무엇인가?
604,사이버리스크 발생 시 어떤 유형의 비용이 발생할 수 있는가?
692,한시적 근로자란 무엇인가?
662,IMF 쿼타란 무엇인가?
866,방카슈랑스의 장점은 무엇인가?
70,레그테크의 주요 기능은 무엇인가?
543,기대경로란 무엇인가?
107,중계무역이란 무엇인가?
493,본원소득이란 무엇인가?
590,추심이란 무엇인가?
741,중앙은행이 금리를 결정할 때 테일러 준칙은 어떻게 활용되는가?
292,미발행화폐란 무엇인가?
289,미국과 유럽의 금융지주회사의 설립 형태는 어떻게 다른가요?
652,지급준비제도의 중요성이 변화한 이유는 무엇인가?
39,원금리스크란 무엇인가?
589,지적소유권 보호에 대한 국제적인 문제는 무엇인가?
307,4차 산업혁명은 무엇을 의미하는가?
679,생산유발효과를 분석하는 방법은 무엇인가?
66,주가지수옵션이란 무엇인가?
275,바젤Ⅲ의 주요 내용은 무엇인가?
67,계절변동조정시계열이란 무엇인가?
318,금융중개지원대출제도란 무엇인가?
548,사전적 정책방향 제시란 무엇인가?
998,스프레드거래의 개념은 무엇인가?
714,주가지수옵션의 손익구조는 어떻게 되나?
753,"승용차 수출의 사례로 설명하자면, 무역지수는 어떻게 적용되는가?"
327,통화정책체계란 무엇인가?
382,투입계수란 무엇인가?
451,외환결제리스크란 무엇인가?
522,마스트리히트조약이란 무엇인가?
218,블록체인이 활용되는 분야는 어떤 것들이 있는가?
787,한국의 금융 시스템은 과거와 현재 어떻게 변화했는가?
436,한국은행의 통화량 목표제와 물가안정목표제의 차이는 무엇인가?
764,실망실업자란 무엇인가?
88,핀테크란 무엇인가?
63,화폐교환이란 무엇인가?
826,마이크로 크레디트의 시작은 어떻게 이루어졌는가?
716,"지정환율은 어떻게 결정되며, 결제 단위는 어떤 것이 있는가?"
351,종합금융투자사업자란 무엇인가?
936,금융시스템 상호연계성은 무엇인가?
256,중개무역이란 무엇인가?
635,수쿠크 발행이 높은 성장세를 보이는 이유는 무엇인가?
644,의중임금이란 무엇인가?
554,자유무역협정의 주요 특징은 무엇인가?
959,핀테크란 무엇인가?
168,자본이동자유화규약은 무엇인가?
917,역외펀드란 무엇인가?
528,신용스프레드가 확대되는 현상은 무엇을 의미하는가?
823,이 법이 제정된 이후 어떤 변화가 있었는가?
985,더블딥의 구체적인 예시로 어떤 사건이 자주 언급되는가?
816,통화옵션의 매입자는 어떤 권리를 가지는가?
86,은행경영공시제도란 무엇인가?
432,일물일가의 법칙이란 무엇인가?
184,낙인효과란 무엇인가?
978,글래스-스티걸법 시행 이후 미국 금융시장은 어떻게 변화했는가?
